#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,alsa-utils,"is an elegant browser with built-in adblocking, tor and other features."
,arandr,gives the dark GTK theme used in LARBS.
,atool,is the status bar
,bc,generates image previews in ranger and other terminal programs.
A,brave-bin,is an extensive terminal file manager that everyone likes.
,bspwm,is an Excel-like terminal spreadsheet manager.
,calcurse,enables the mounting of cell phones.
V,dbus,queues commands or files for download.
,dosfstools,is a task-spooler
,dunst,provides unicode and emoji symbols.
,exfat-utils,runs commands and provides a UI for selection.
,ffmpeg,serves as the modular status bar.
,firefox,is my custom build of suckless's terminal emulator.
V,font-symbola,is required for the compilation of some programs.
I,fontconfig-devel,is required for the compilation of some programs.
,fzf,is required for the compilation of some programs.
I,gcr-devel,facilitates inter-process communication.
,gnome-keyring,provides unicode and emoji symbols.
A,gtk-theme-arc-gruvbox-git,is required for the compilation of some programs.
,highlight,allows LARBS's unique keyboard bindings.
G,https://github.com/LukeSmithxyz/dwmblocks.git,enables the mounting of cell phones.
G,https://github.com/lukesmithxyz/dmenu.git,queues commands or files for download.
G,https://github.com/lukesmithxyz/st.git,hides an inactive mouse.
V,libX11-devel,aids with resolution determination and screen recording.
I,libXft-devel,allows LARBS's unique keyboard bindings.
,libnotify,is a font package.
,lynx,is the graphical server.
,maim,is a tool for detecting window properties.
,mediainfo,allows speeding up the X rate.
,mpc,sets status bar and other X properies.
,mpd,is an audio interface for ALSA.
,mpv,is a UI for screen adjustment.
,ncmpcpp,manages and gives information about archives.
,neovim,is used for a dropdown calculator.
,newsboat,is the main graphical user interface and window manager.
,nfs-utils,is a lightweight terminal-based calendar.
,ntfs-3g,allows your computer to access dos-like filesystems.
A,polybar,is a suckless notification system.
,poppler,allows management of FAT drives.
A,python-ueberzug,is a broswer
A,ranger-git,can record and splice video and audio on the command line.
A,sc-im,is a fuzzy finder tool.
V,setxkbmap,serves as the system keyring.
A,simple-mtpfs,can highlight code output.
A,simple-mtpfs,allows desktop notifications.
V,simple-mtpfs,is a terminal browser which can also view images.
,slock,can take quick screenshots at your request.
,socat,shows audio and video information.
,sxhkd,is a terminal interface for mpd.
,sxiv,is a lightweight music daemon.
,tmux,is the patrician's choice video player.
A,ts,a ncurses interface for music with multiple formats and a powerful tag editor.
V,ts,a tidier vim with some useful features
,ttf-inconsolata,is a terminal RSS client.
,ttf-joypixels,is a set of tools for nfs filesystem
,ttf-linux-libertine,allows accessing NTFS partitions.
A,ttf-symbola,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,unclutter,"allows you to lock your computer, and quickly unlock with your password."
V,unclutter-xfixes,is a socket utility.
,unrar,binds keys.
,unzip,is a minimalist image viewer.
,xcape,is a terminal multiplexer and the dropdown window in LARBS.
,xclip,is the monospace font of LARBS.
,xcompmgr,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
,xdotool,provides the sans and serif fonts for LARBS.
V,xdpyinfo,hides an inactive mouse.
V,xmodmap,extracts rar's.
V,xorg-fonts,unzips zips.
V,xorg-minimal,gives the special escape/super mappings of LARBS.
,xorg-server,allows for copying and pasting from the command line.
,xorg-xbacklight,is for transparency and removing screen-tearing.
,xorg-xdpyinfo,provides window action utilities on the command line.
,xorg-xinit,is the graphical server.
,xorg-xprop,enables changing screen brightness levels.
,xorg-xwininfo,aids with resolution determination and screen recording.
V,xprop,starts the graphical server.
V,xset,is a tool for detecting window properties.
V,xsetroot,allows querying information about windows.
,xwallpaper,sets the wallpaper.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,zsh-syntax-highlighting,provides fish-like syntax highlighting in the shell.
